"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"18.08.2023","62,875","63,250","63,250","62,875","-0,59%"
"17.08.2023","63,250","63,875","63,875","63,250","-0,98%"
"16.08.2023","63,875","63,875","63,875","63,875","0,00%"
"15.08.2023","63,875","64,875","64,875","63,875","-1,54%"
"14.08.2023","64,875","65,000","65,000","64,875","-0,19%"
"11.08.2023","65,000","65,000","65,000","65,000","0,00%"
"10.08.2023","65,000","65,625","65,625","65,000","-0,95%"
"09.08.2023","65,625","66,000","66,000","65,625","-0,57%"
"08.08.2023","66,000","66,500","66,500","66,000","-0,75%"
"07.08.2023","66,500","66,250","66,500","66,250","0,38%"
"04.08.2023","66,250","66,875","66,875","66,250","-0,93%"
"03.08.2023","66,875","67,250","67,250","66,875","-0,56%"
"02.08.2023","67,250","68,000","68,000","67,250","-1,10%"
"01.08.2023","68,000","68,875","68,875","68,000","-1,27%"
"31.07.2023","68,875","68,875","68,875","68,875","0,00%"
"28.07.2023","68,875","68,625","68,875","68,625","0,36%"
"27.07.2023","68,625","68,250","68,625","68,250","0,55%"
"26.07.2023","68,250","67,875","68,250","67,875","0,55%"
"25.07.2023","67,875","68,500","68,500","67,875","-0,37%"
"24.07.2023","68,125","67,375","68,500","67,375","1,11%"
"21.07.2023","67,375","67,750","67,750","67,375","-0,55%"
"20.07.2023","67,750","68,000","68,000","67,750","-0,37%"
"19.07.2023","68,000","67,750","68,000","67,750","0,37%"
"18.07.2023","67,750","67,250","67,750","67,250","0,74%"
"17.07.2023","67,250","66,375","67,250","66,375","1,32%"
"14.07.2023","66,375","66,000","66,375","66,000","0,57%"
"13.07.2023","66,000","63,375","66,000","63,375","4,14%"
"12.07.2023","63,375","63,000","63,375","63,000","0,60%"
"11.07.2023","63,000","63,000","63,000","63,000","0,00%"
"10.07.2023","63,000","62,875","63,000","62,875","0,20%"
"07.07.2023","62,875","63,125","63,125","62,875","-0,40%"
"06.07.2023","63,125","63,125","63,125","63,125","0,00%"
"05.07.2023","63,125","63,625","63,625","63,125","-0,79%"
"04.07.2023","63,625","63,625","63,625","63,625","0,00%"
"03.07.2023","63,625","63,375","63,625","63,375","0,39%"
"30.06.2023","63,375","63,125","63,375","63,125","0,40%"
"29.06.2023","63,125","63,875","63,875","63,125","-1,17%"
"28.06.2023","63,875","63,500","63,875","63,500","0,59%"
"27.06.2023","63,500","63,750","63,750","63,500","-0,39%"
"26.06.2023","63,750","63,500","63,750","63,500","0,39%"
"23.06.2023","63,500","63,750","63,750","63,500","-0,39%"
"22.06.2023","63,750","64,125","64,125","63,750","-0,58%"
"21.06.2023","64,125","64,250","64,250","64,125","-0,19%"
"20.06.2023","64,250","64,125","64,250","64,125","0,19%"
"19.06.2023","64,125","64,125","64,125","64,125","0,00%"
"16.06.2023","64,125","64,125","64,125","64,125","0,00%"
"15.06.2023","64,125","64,625","64,625","64,125","-0,77%"
"14.06.2023","64,625","64,000","64,625","64,000","0,98%"
"13.06.2023","64,000","63,750","64,000","63,750","0,39%"
"12.06.2023","63,750","62,875","63,750","62,875","1,39%"
"09.06.2023","62,875","62,500","62,875","62,500","0,60%"
"08.06.2023","62,500","62,000","62,500","62,000","0,81%"
"07.06.2023","62,000","62,000","62,000","62,000","0,00%"
"06.06.2023","62,000","59,750","62,000","59,750","3,77%"
"05.06.2023","59,750","59,750","59,750","59,750","0,00%"
"02.06.2023","59,750","59,875","59,875","59,750","-0,21%"
"01.06.2023","59,875","59,750","59,875","59,750","0,21%"
"31.05.2023","59,750","59,500","59,750","59,500","0,42%"
"30.05.2023","59,500","60,375","60,375","59,500","-1,45%"
"29.05.2023","60,375","60,375","60,375","60,375","0,00%"
"26.05.2023","60,375","59,625","60,375","59,625","1,26%"
"25.05.2023","59,625","59,750","59,750","59,625","-0,21%"
"24.05.2023","59,750","60,625","60,625","59,750","-1,44%"
"23.05.2023","60,625","60,500","60,625","60,500","0,21%"
"22.05.2023","60,500","60,125","60,500","60,125","0,62%"
"19.05.2023","60,125","59,875","60,125","59,875","0,42%"
"18.05.2023","59,875","60,875","60,875","59,875","-1,64%"
"17.05.2023","60,875","61,000","61,000","60,875","-0,20%"
"16.05.2023","61,000","60,625","61,000","60,625","0,62%"
"15.05.2023","60,625","60,750","60,750","60,625","-0,21%"
"12.05.2023","60,750","60,000","60,750","60,000","1,25%"
"11.05.2023","60,000","59,500","60,000","59,500","0,84%"
"10.05.2023","59,500","59,000","59,500","59,000","0,85%"
"09.05.2023","59,000","58,500","59,000","58,500","0,85%"
"08.05.2023","58,500","58,000","58,500","58,000","0,86%"
"05.05.2023","58,000","56,000","58,000","56,000","3,57%"
"04.05.2023","56,000","56,125","56,125","56,000","-0,22%"
"03.05.2023","56,125","56,750","56,750","56,125","-1,10%"
"02.05.2023","56,750","56,375","56,750","56,375","0,67%"
"01.05.2023","56,375","57,250","57,250","56,375","-1,53%"
"28.04.2023","57,250","59,125","59,125","57,250","-3,17%"
"27.04.2023","59,125","59,750","59,750","59,125","-1,05%"
"26.04.2023","59,750","59,625","59,750","59,625","0,21%"
"25.04.2023","59,625","61,000","61,000","59,625","10,93%"
"24.04.2023","53,750","53,750","61,000","53,750","0,00%"
"21.04.2023","53,750","53,000","53,750","53,000","1,42%"
"20.04.2023","53,000","50,500","53,000","50,500","4,95%"
"19.04.2023","50,500","48,000","50,500","48,000","5,21%"
"18.04.2023","48,000","48,000","48,000","48,000","0,00%"
"17.04.2023","48,000","46,000","48,000","46,000","4,35%"
"14.04.2023","46,000","46,375","46,375","46,000","-0,81%"
"13.04.2023","46,375","46,750","46,750","46,375","-0,80%"
"12.04.2023","46,750","47,375","47,375","46,750","-1,32%"
"11.04.2023","47,375","48,000","48,000","47,375","-1,30%"
"10.04.2023","48,000","48,500","48,500","48,000","-1,03%"
"07.04.2023","48,500","48,500","48,500","48,500","0,00%"
"06.04.2023","48,500","49,500","49,500","48,500","-2,02%"
"05.04.2023","49,500","51,000","51,000","49,500","-2,94%"
"04.04.2023","51,000","51,750","51,750","51,000","-1,45%"
"03.04.2023","51,750","52,750","52,750","51,750","-1,90%"
"31.03.2023","52,750","52,750","52,750","52,750","0,00%"
"30.03.2023","52,750","54,250","54,250","52,750","-2,76%"
"29.03.2023","54,250","55,125","55,125","54,250","-1,59%"
"28.03.2023","55,125","57,750","57,750","55,125","-4,55%"
"27.03.2023","57,750","57,250","57,750","57,250","0,87%"
"24.03.2023","57,250","56,875","57,250","56,875","0,66%"
"23.03.2023","56,875","57,000","57,000","56,875","-0,22%"
"22.03.2023","57,000","58,000","58,000","57,000","-1,72%"
"21.03.2023","58,000","61,625","61,625","58,000","-5,88%"
"20.03.2023","61,625","61,625","61,625","61,625","0,00%"
"17.03.2023","61,625","61,500","61,625","61,500","0,20%"
"16.03.2023","61,500","64,125","64,125","61,500","-4,09%"
"15.03.2023","64,125","64,125","64,125","64,125","0,00%"
"14.03.2023","64,125","64,500","64,500","64,125","-0,58%"
"13.03.2023","64,500","67,000","67,000","64,500","-3,73%"
"10.03.2023","67,000","66,500","67,000","66,500","0,75%"
"09.03.2023","66,500","69,500","69,500","66,500","-4,32%"
"08.03.2023","69,500","69,875","69,875","69,500","-0,54%"
"07.03.2023","69,875","69,875","69,875","69,875","0,00%"
"06.03.2023","69,875","69,750","69,875","69,750","0,18%"
"03.03.2023","69,750","69,875","69,875","69,750","-0,18%"
"02.03.2023","69,875","70,375","70,375","69,875","-0,71%"
"01.03.2023","70,375","71,000","71,000","70,375","-0,88%"
"28.02.2023","71,000","71,000","71,000","71,000","0,00%"
"27.02.2023","71,000","70,625","71,000","70,625","0,53%"
"24.02.2023","70,625","70,500","70,625","70,500","0,18%"
"23.02.2023","70,500","70,875","70,875","70,500","-0,53%"
"22.02.2023","70,875","71,250","71,250","70,875","-0,53%"
"21.02.2023","71,250","71,625","71,625","71,250","-0,52%"
"20.02.2023","71,625","71,625","71,625","71,625","0,00%"
"17.02.2023","71,625","72,000","72,000","71,625","-0,52%"
"16.02.2023","72,000","71,875","72,000","71,875","0,17%"
"15.02.2023","71,875","72,125","72,125","71,875","-0,35%"
"14.02.2023","72,125","72,500","72,500","72,125","-0,52%"
"13.02.2023","72,500","73,000","73,000","72,500","-0,68%"
"10.02.2023","73,000","74,500","74,500","73,000","-2,01%"
"09.02.2023","74,500","74,500","74,500","74,500","0,00%"
"08.02.2023","74,500","74,750","74,750","74,500","-0,33%"
"07.02.2023","74,750","75,000","75,000","74,750","-0,33%"
"06.02.2023","75,000","76,125","76,125","75,000","-1,48%"
"03.02.2023","76,125","75,875","76,125","75,875","0,33%"
"02.02.2023","75,875","75,875","75,875","75,875","0,00%"
"01.02.2023","75,875","76,500","76,500","75,875","-0,82%"
"31.01.2023","76,500","76,750","76,750","76,500","-0,33%"
"30.01.2023","76,750","76,500","76,750","76,500","0,33%"
"27.01.2023","76,500","76,750","76,750","76,500","-0,33%"
"26.01.2023","76,750","76,750","76,750","76,750","0,00%"
"25.01.2023","76,750","77,875","77,875","76,750","-1,44%"
"24.01.2023","77,875","76,625","77,875","76,625","1,63%"
"23.01.2023","76,625","76,750","76,750","76,625","-0,16%"
"20.01.2023","76,750","76,375","76,750","76,375","0,49%"
"19.01.2023","76,375","75,625","76,375","75,625","0,99%"
"18.01.2023","75,625","75,500","75,625","75,500","0,17%"
"17.01.2023","75,500","72,000","75,500","72,000","4,86%"
"16.01.2023","72,000","72,000","72,000","72,000","-4,48%"
"13.01.2023","75,375","73,000","75,375","72,000","3,25%"
"12.01.2023","73,000","77,875","77,875","73,000","-6,26%"
"11.01.2023","77,875","78,625","78,625","77,875","-0,95%"
"10.01.2023","78,625","79,500","79,500","78,625","-1,10%"
"09.01.2023","79,500","79,500","79,500","79,500","0,00%"
"06.01.2023","79,500","80,375","80,375","79,500","-1,09%"
"05.01.2023","80,375","80,375","80,375","80,375","0,00%"
"04.01.2023","80,375","80,875","80,875","80,375","-0,62%"
"03.01.2023","80,875","80,375","80,875","80,375","0,62%"
"02.01.2023","80,375","80,375","80,375","80,375","0,00%"
"30.12.2022","80,375","80,500","80,500","80,375","-0,16%"
"29.12.2022","80,500","80,500","80,500","80,500","0,00%"
"28.12.2022","80,500","80,500","80,500","80,500","0,00%"
"27.12.2022","80,500","81,000","81,000","80,500","-0,62%"
"26.12.2022","81,000","81,000","81,000","81,000","0,00%"
"23.12.2022","81,000","80,875","81,000","80,875","0,15%"
"22.12.2022","80,875","80,875","80,875","80,875","0,00%"
"21.12.2022","80,875","80,375","80,875","80,375","0,62%"
"20.12.2022","80,375","80,875","80,875","80,375","-0,62%"
"19.12.2022","80,875","80,250","80,875","80,250","0,78%"
"16.12.2022","80,250","80,500","80,500","80,250","-0,31%"
"15.12.2022","80,500","80,125","80,500","80,125","0,47%"
"14.12.2022","80,125","79,750","80,125","79,750","0,47%"
"13.12.2022","79,750","79,750","79,750","79,750","0,00%"
"12.12.2022","79,750","79,125","79,750","79,125","0,79%"
"09.12.2022","79,125","78,875","79,125","78,875","0,32%"
"08.12.2022","78,875","79,000","79,000","78,875","-0,16%"
"07.12.2022","79,000","78,500","79,000","78,500","0,64%"
"06.12.2022","78,500","78,250","78,500","78,250","0,32%"
"05.12.2022","78,250","78,750","78,750","78,250","-0,63%"
"02.12.2022","78,750","77,750","78,750","77,750","1,29%"
"01.12.2022","77,750","78,000","78,000","77,750","0,00%"
"30.11.2022","77,750","77,250","78,000","77,250","0,65%"
"29.11.2022","77,250","77,250","77,250","77,250","0,16%"
"28.11.2022","77,125","77,125","77,250","77,125","0,00%"
"25.11.2022","77,125","77,250","77,250","77,125","-0,16%"
"24.11.2022","77,250","77,250","77,250","77,250","0,00%"
"23.11.2022","77,250","77,000","77,250","77,000","0,32%"
"22.11.2022","77,000","77,000","77,000","77,000","0,49%"
"21.11.2022","76,625","77,250","77,250","76,625","-0,81%"
"18.11.2022","77,250","77,000","77,250","77,000","-0,16%"
"17.11.2022","77,375","76,500","77,375","76,500","1,14%"
"16.11.2022","76,500","76,125","76,500","76,125","0,49%"
"15.11.2022","76,125","76,125","76,125","76,125","0,00%"
"14.11.2022","76,125","76,125","76,125","76,125","0,00%"
"11.11.2022","76,125","75,500","76,125","75,500","0,83%"
"10.11.2022","75,500","76,375","76,375","75,500","-1,15%"
"09.11.2022","76,375","76,750","76,750","76,375","-0,49%"
"08.11.2022","76,750","76,375","76,750","76,375","0,49%"
"07.11.2022","76,375","76,500","76,500","76,375","-0,16%"
"04.11.2022","76,500","78,375","78,375","76,500","-2,39%"
"03.11.2022","78,375","77,750","78,375","77,750","0,80%"
"02.11.2022","77,750","78,000","78,000","77,750","-0,32%"
"01.11.2022","78,000","78,625","78,625","78,000","-0,79%"
"31.10.2022","78,625","78,625","78,625","78,625","0,00%"
"28.10.2022","78,625","78,750","78,750","78,625","-0,16%"
"27.10.2022","78,750","77,750","78,750","77,750","1,29%"
"26.10.2022","77,750","77,750","77,750","77,750","0,00%"
"25.10.2022","77,750","77,625","77,750","77,625","0,16%"
"24.10.2022","77,625","77,625","77,625","77,625","0,00%"
"21.10.2022","77,625","77,875","77,875","77,625","-0,32%"
"20.10.2022","77,875","77,875","77,875","77,875","0,00%"
"19.10.2022","77,875","77,625","77,875","77,625","0,32%"
"18.10.2022","77,625","77,500","77,625","77,500","0,16%"
"17.10.2022","77,500","77,250","77,500","77,250","0,32%"
"14.10.2022","77,250","77,875","77,875","77,250","-0,80%"
